precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
175853026,1.0,3.0,360.0,216.0,1.0,-33.3528354,-70.7325399
823326220,8.0,7.0,379.0,84.0,1.0,-33.436555,-70.6190607
878477259,5.0,10.0,289.0,0.0,1.0,-33.4243785,-70.6204289
315070005,4.0,5.0,165.0,-33.0,1.0,-33.4774039,-70.7537959
185000000,2.0,4.0,152.0,32.0,1.0,-33.5398321,-70.5603792
628327905,4.0,5.0,210.0,40.0,1.0,-33.3781054,-70.5449322
389208759,3.0,10.0,285.0,0.0,0.0,-33.4417,-70.6739357
1173929252,5.0,4.0,1500.0,1000.0,1.0,-33.3358777,-70.527777
170731858,3.0,4.0,140.0,10.0,1.0,-33.5155068,-70.76159
2717764399,7.0,8.0,2968.0,1875.0,1.0,-33.3462384,-70.5265208
649994384,5.0,5.0,600.0,370.0,1.0,-33.2589831,-70.6206143
744539022,5.0,5.0,269.0,79.0,1.0,-33.3793721,-70.5445116
1103020774,4.0,5.0,1156.0,825.0,1.0,-33.4026907,-70.5262739
125000000,2.0,4.0,230.0,92.0,1.0,-33.5873742,-70.56463
728387647,4.0,5.0,654.0,421.0,1.0,-33.2650789,-70.6223639
984839976,6.0,6.0,900.0,470.0,1.0,-33.4784456,-70.5182144
797326445,3.0,4.0,482.0,302.0,1.0,-33.3942744,-70.550015
315148792,3.0,4.0,39605.0,25097.0,1.0,-33.5834466,-70.5112109
280876361,4.0,3.0,200.0,85.0,1.0,-33.4785039,-70.6129256
214301179,4.0,5.0,166.0,45.0,1.0,-33.5917762,-70.5459602
586964626,3.0,3.0,205.0,65.0,1.0,-33.420002,-70.5801
89900000,1.0,4.0,90.0,15.0,1.0,-33.4677215,-70.697018
402129859,2.0,4.0,216.0,-939.0,1.0,-33.4404415,-70.6277666
506010780,3.0,3.0,200.0,89.0,1.0,-33.4348219,-70.584995
354148456,3.0,5.0,245.0,105.0,1.0,-33.5425166,-70.5700995
648024704,7.0,7.0,530.0,0.0,1.0,-33.6344855,-70.7535099
744539022,4.0,5.0,663.0,485.0,1.0,-33.3301638,-70.5161208
567228433,4.0,5.0,5000.0,4600.0,1.0,-33.6601445,-70.8420109
150877484,3.0,3.0,73.0,-64.0,1.0,-33.5955757,-70.5899314
689387983,4.0,4.0,240.0,80.0,1.0,-33.3481044,-70.5479174
378178551,2.0,3.0,240.0,100.0,1.0,-33.437037,-70.5820414
110000000,2.0,4.0,97.0,0.0,1.0,-33.5863494,-70.5573339
222573835,1.0,3.0,252.0,0.0,1.0,-33.5251099,-70.6492359
779993261,15.0,11.0,364.0,-120.0,1.0,-33.4347908,-70.6332278
680000000,16.0,14.0,186.0,-214.0,0.0,-33.4405457,-70.6332419
108411185,1.0,3.0,90.0,0.0,1.0,-33.4875131,-70.6226308
197952835,3.0,3.0,120.0,30.0,1.0,-33.4828547,-70.7595957
120531019,2.0,6.0,280.0,121.0,0.0,-33.4158805,-70.682836
279694553,2.0,3.0,74.0,-16.0,1.0,-33.448041,-70.5671327
128029197,2.0,4.0,975.0,-6774.0,1.0,-33.4433538,-70.756564
120531019,1.0,4.0,270.0,170.0,1.0,-33.4423467,-70.7317133
236361594,1.0,2.0,80.0,28.0,1.0,-33.4154609,-70.5558134
84459876,2.0,3.0,163.0,60.0,0.0,-33.460625,-70.6911455
77000000,2.0,3.0,67.0,5.0,1.0,-33.5909865,-70.5622871
157574396,3.0,4.0,159.0,52.0,1.0,-33.49962,-70.78373
543631667,3.0,4.0,150.0,50.0,1.0,-33.4295225,-70.5929128
200907355,2.0,3.0,1000.0,0.0,1.0,-33.6053463,-70.7017358
230000000,3.0,3.0,220.0,28.0,1.0,-33.6201742,-70.5844763
551116451,2.0,4.0,260.0,100.0,1.0,-33.4050134,-70.5512451
283633913,2.0,7.0,242.0,0.0,1.0,-33.4461377,-70.6706802
665751824,4.0,5.0,500.0,300.0,1.0,-33.3404803,-70.5080316
157574396,2.0,3.0,132.0,4.0,1.0,-33.5611972,-70.5556229
321451768,2.0,3.0,450.0,240.0,1.0,-33.6058726,-70.7040054
700000000,3.0,4.0,480.0,0.0,1.0,-33.4115074,-70.6595272
152000000,3.0,3.0,130.0,0.0,1.0,-33.4840173,-70.7664208
135000000,4.0,3.0,160.0,54.0,1.0,-33.4843354,-70.6216794
329527456,2.0,5.0,639.0,460.0,1.0,-33.4668575,-70.5329185
120938349,1.0,2.0,70.0,0.0,1.0,-33.362405,-70.5117504
60000000,1.0,3.0,111.0,0.0,0.0,-33.4753024,-70.6992119
265906794,3.0,4.0,204.0,-12157.0,1.0,-33.4830889,-70.768897
315148792,3.0,4.0,420.0,270.0,1.0,-33.30398,-70.6956
373845255,3.0,3.0,433.0,243.0,1.0,-33.2175332,-70.668464
110000000,2.0,3.0,83.0,0.0,1.0,-33.6117893,-70.5990035
200000000,3.0,3.0,163.0,65.0,1.0,-33.5434457,-70.5549599
393935991,7.0,7.0,5000.0,4590.0,1.0,-33.6231722,-70.9003228
146544188,2.0,3.0,325.0,225.0,1.0,-33.4007156,-71.126753
155000000,3.0,3.0,200.0,97.0,1.0,-33.7331323,-70.7175666
80000000,1.0,2.0,60.0,14.0,1.0,-33.4991663,-70.5865711
198000000,3.0,4.0,196.0,58.0,1.0,-33.5541047,-70.7687823
85000000,1.0,2.0,95.0,0.0,1.0,-33.514903,-70.7933566
66000000,2.0,4.0,200.0,80.0,1.0,-33.4028245,-70.7175625
134000000,2.0,3.0,204.0,115.0,1.0,-33.4445391,-70.7318265
244240314,2.0,4.0,196.0,0.0,1.0,-33.4155507,-70.6627335
110000000,2.0,4.0,10553.0,0.0,1.0,-33.7304655,-70.7601995
180000000,2.0,4.0,200.0,80.0,1.0,-33.4150443,-70.6766799
126059517,1.0,2.0,164.0,105.0,1.0,-33.5791025,-70.5615865
181171162,2.0,5.0,200.0,65.0,1.0,-33.5894147,-70.5790003
120000000,3.0,8.0,280.0,0.0,0.0,-33.5334742,-70.644101
148000000,6.0,5.0,165.0,41.0,1.0,-33.5037582,-70.6683184
