precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud,comuna
898174058.0,4.0,4.0,392.0,172.0,1.0,-33.3859307,-70.5789958,Vitacura
400000000.0,3.0,4.0,180.0,42.0,1.0,-33.4383146,-70.5556138,La Reina
196061942.0,2.0,4.0,180.0,-70.0,1.0,-33.5436823,-70.7725802,Maipú
110302077.0,1.0,2.0,122.0,0.0,1.0,-33.5564776,-70.5993444,La Florida
728781583.0,2.0,4.0,262.0,100.0,1.0,-33.3913369,-70.5873847,Vitacura
1299988769.0,4.0,5.0,1117.0,697.0,1.0,-33.336747,-70.5580881,Lo Barnechea
196967995.0,2.0,3.0,228.0,128.0,1.0,-33.3624464,-70.7270696,Quilicura
122000000.0,2.0,3.0,92.0,22.0,1.0,-33.4601497,-70.7359781,Pudahuel
150000000.0,4.0,13.0,202.0,0.0,0.0,-33.4585797,-70.6549951,Santiago
496359348.0,1.0,3.0,265.0,183.0,1.0,-33.381111,-70.5543416,Vitacura
185149916.0,2.0,3.0,274.0,179.0,1.0,-33.5331074,-70.6420543,San Ramón
94544638.0,4.0,8.0,210.0,0.0,0.0,-33.3926839,-70.6710721,Conchalí
617691633.0,4.0,4.0,320.0,190.0,1.0,-33.4053987,-70.538763,Las Condes
346663672.0,1.0,3.0,242.0,141.0,1.0,-33.4261882,-70.5408305,Las Condes
168000000.0,2.0,3.0,135.0,56.0,1.0,-33.6779583,-71.1799031,Melipilla
155000000.0,1.0,4.0,1.0,0.0,1.0,-33.395281,-70.6373403,Recoleta
137877597.0,1.0,3.0,59.0,-78.0,1.0,-33.4940409,-70.7522489,Maipú
275361257.0,2.0,5.0,300.0,100.0,1.0,-33.4901165,-70.6569221,San Miguel
242506996.0,3.0,3.0,319.0,165.0,1.0,-33.5455963,-70.5739417,La Florida
130000000.0,1.0,3.0,171.0,98.0,1.0,-33.4843718,-70.6309295,San Joaquín
523934867.0,5.0,4.0,470.0,241.0,1.0,-33.3229261,-70.6470944,Colina
740599662.0,4.0,4.0,900.0,690.0,1.0,-33.2570959,-70.6239799,Colina
807174845.0,4.0,6.0,412.0,190.0,1.0,-33.4336164,-70.5889776,Providencia
175853026.0,1.0,3.0,360.0,216.0,1.0,-33.3528354,-70.7325399,Quilicura
823326220.0,8.0,7.0,379.0,84.0,1.0,-33.436555,-70.6190607,Providencia
878477259.0,5.0,10.0,289.0,0.0,1.0,-33.4243785,-70.6204289,Providencia
315070005.0,4.0,5.0,165.0,-33.0,1.0,-33.4774039,-70.7537959,Maipú
185000000.0,2.0,4.0,152.0,32.0,1.0,-33.5398321,-70.5603792,La Florida
628327905.0,4.0,5.0,210.0,40.0,1.0,-33.3781054,-70.5449322,Vitacura
389208759.0,3.0,10.0,285.0,0.0,0.0,-33.4417,-70.6739357,Santiago
1173929252.0,5.0,4.0,1500.0,1000.0,1.0,-33.3358777,-70.527777,Lo Barnechea
170731858.0,3.0,4.0,140.0,10.0,1.0,-33.5155068,-70.76159,Maipú
2717764399.0,7.0,8.0,2968.0,1875.0,1.0,-33.3462384,-70.5265208,Lo Barnechea
649994384.0,5.0,5.0,600.0,370.0,1.0,-33.2589831,-70.6206143,Colina
744539022.0,5.0,5.0,269.0,79.0,1.0,-33.3793721,-70.5445116,Vitacura
1103020774.0,4.0,5.0,1156.0,825.0,1.0,-33.4026907,-70.5262739,Las Condes
125000000.0,2.0,4.0,230.0,92.0,1.0,-33.5873742,-70.56463,Puente Alto
728387647.0,4.0,5.0,654.0,421.0,1.0,-33.2650789,-70.6223639,Colina
984839976.0,6.0,6.0,900.0,470.0,1.0,-33.4784456,-70.5182144,Peñalolén
797326445.0,3.0,4.0,482.0,302.0,1.0,-33.3942744,-70.550015,Las Condes
315148792.0,3.0,4.0,39605.0,25097.0,1.0,-33.5834466,-70.5112109,Puente Alto
280876361.0,4.0,3.0,200.0,85.0,1.0,-33.4785039,-70.6129256,Macul
214301179.0,4.0,5.0,166.0,45.0,1.0,-33.5917762,-70.5459602,Puente Alto
586964626.0,3.0,3.0,205.0,65.0,1.0,-33.420002,-70.5801,Las Condes
89900000.0,1.0,4.0,90.0,15.0,1.0,-33.4677215,-70.697018,Estación Central
402129859.0,2.0,4.0,216.0,-939.0,1.0,-33.4404415,-70.6277666,Providencia
506010780.0,3.0,3.0,200.0,89.0,1.0,-33.4348219,-70.584995,Providencia
354148456.0,3.0,5.0,245.0,105.0,1.0,-33.5425166,-70.5700995,La Florida
648024704.0,7.0,7.0,530.0,0.0,1.0,-33.6344855,-70.7535099,Calera de Tango
744539022.0,4.0,5.0,663.0,485.0,1.0,-33.3301638,-70.5161208,Lo Barnechea
567228433.0,4.0,5.0,5000.0,4600.0,1.0,-33.6601445,-70.8420109,Calera de Tango
150877484.0,3.0,3.0,73.0,-64.0,1.0,-33.5955757,-70.5899314,Puente Alto
689387983.0,4.0,4.0,240.0,80.0,1.0,-33.3481044,-70.5479174,Lo Barnechea
378178551.0,2.0,3.0,240.0,100.0,1.0,-33.437037,-70.5820414,Ñuñoa
110000000.0,2.0,4.0,97.0,0.0,1.0,-33.5863494,-70.5573339,Puente Alto
222573835.0,1.0,3.0,252.0,0.0,1.0,-33.5251099,-70.6492359,La Cisterna
779993261.0,15.0,11.0,364.0,-120.0,1.0,-33.4347908,-70.6332278,Providencia
680000000.0,16.0,14.0,186.0,-214.0,0.0,-33.4405457,-70.6332419,Providencia
108411185.0,1.0,3.0,90.0,0.0,1.0,-33.4875131,-70.6226308,San Joaquín
197952835.0,3.0,3.0,120.0,30.0,1.0,-33.4828547,-70.7595957,Maipú
120531019.0,2.0,6.0,280.0,121.0,0.0,-33.4158805,-70.682836,Renca
279694553.0,2.0,3.0,74.0,-16.0,1.0,-33.448041,-70.5671327,La Reina
128029197.0,2.0,4.0,975.0,-6774.0,1.0,-33.4433538,-70.756564,Pudahuel
120531019.0,1.0,4.0,270.0,170.0,1.0,-33.4423467,-70.7317133,Lo Prado
236361594.0,1.0,2.0,80.0,28.0,1.0,-33.4154609,-70.5558134,Las Condes
84459876.0,2.0,3.0,163.0,60.0,0.0,-33.460625,-70.6911455,Estación Central
77000000.0,2.0,3.0,67.0,5.0,1.0,-33.5909865,-70.5622871,Puente Alto
157574396.0,3.0,4.0,159.0,52.0,1.0,-33.49962,-70.78373,Maipú
543631667.0,3.0,4.0,150.0,50.0,1.0,-33.4295225,-70.5929128,Providencia
200907355.0,2.0,3.0,1000.0,0.0,1.0,-33.6053463,-70.7017358,San Bernardo
230000000.0,3.0,3.0,220.0,28.0,1.0,-33.6201742,-70.5844763,Puente Alto
551116451.0,2.0,4.0,260.0,100.0,1.0,-33.4050134,-70.5512451,Las Condes
283633913.0,2.0,7.0,242.0,0.0,1.0,-33.4461377,-70.6706802,Santiago
665751824.0,4.0,5.0,500.0,300.0,1.0,-33.3404803,-70.5080316,Lo Barnechea
157574396.0,2.0,3.0,132.0,4.0,1.0,-33.5611972,-70.5556229,Puente Alto
321451768.0,2.0,3.0,450.0,240.0,1.0,-33.6058726,-70.7040054,San Bernardo
700000000.0,3.0,4.0,480.0,0.0,1.0,-33.4115074,-70.6595272,Independencia
152000000.0,3.0,3.0,130.0,0.0,1.0,-33.4840173,-70.7664208,Maipú
135000000.0,4.0,3.0,160.0,54.0,1.0,-33.4843354,-70.6216794,San Joaquín
329527456.0,2.0,5.0,639.0,460.0,1.0,-33.4668575,-70.5329185,Peñalolén
120938349.0,1.0,2.0,70.0,0.0,1.0,-33.362405,-70.5117504,Lo Barnechea
60000000.0,1.0,3.0,111.0,0.0,0.0,-33.4753024,-70.6992119,Estación Central
265906794.0,3.0,4.0,204.0,-12157.0,1.0,-33.4830889,-70.768897,Maipú
315148792.0,3.0,4.0,420.0,270.0,1.0,-33.30398,-70.6956,Colina
373845255.0,3.0,3.0,433.0,243.0,1.0,-33.2175332,-70.668464,Colina
110000000.0,2.0,3.0,83.0,0.0,1.0,-33.6117893,-70.5990035,Puente Alto
200000000.0,3.0,3.0,163.0,65.0,1.0,-33.5434457,-70.5549599,La Florida
393935991.0,7.0,7.0,5000.0,4590.0,1.0,-33.6231722,-70.9003228,Peñaflor
146544188.0,2.0,3.0,325.0,225.0,1.0,-33.4007156,-71.126753,Curacaví
155000000.0,3.0,3.0,200.0,97.0,1.0,-33.7331323,-70.7175666,Buin
80000000.0,1.0,2.0,60.0,14.0,1.0,-33.4991663,-70.5865711,Macul
198000000.0,3.0,4.0,196.0,58.0,1.0,-33.5541047,-70.7687823,Maipú
85000000.0,1.0,2.0,95.0,0.0,1.0,-33.514903,-70.7933566,Maipú
66000000.0,2.0,4.0,200.0,80.0,1.0,-33.4028245,-70.7175625,Renca
134000000.0,2.0,3.0,204.0,115.0,1.0,-33.4445391,-70.7318265,Lo Prado
244240314.0,2.0,4.0,196.0,0.0,1.0,-33.4155507,-70.6627335,Independencia
110000000.0,2.0,4.0,10553.0,0.0,1.0,-33.7304655,-70.7601995,Buin
180000000.0,2.0,4.0,200.0,80.0,1.0,-33.4150443,-70.6766799,Independencia
126059517.0,1.0,2.0,164.0,105.0,1.0,-33.5791025,-70.5615865,Puente Alto
181171162.0,2.0,5.0,200.0,65.0,1.0,-33.5894147,-70.5790003,Puente Alto
120000000.0,3.0,8.0,280.0,0.0,0.0,-33.5334742,-70.644101,San Ramón
148000000.0,6.0,5.0,165.0,41.0,1.0,-33.5037582,-70.6683184,Pedro Aguirre Cerda
2085891070.0,5.0,5.0,1180.0,766.0,1.0,-33.3825775,-70.5067822,Las Condes
1122717573.0,7.0,5.0,1203.0,821.0,1.0,-33.3985653,-70.5289324,Las Condes
153635036.0,1.0,3.0,72.0,0.0,1.0,-33.420865,-70.6417333,Recoleta
393935991.0,3.0,4.0,155.0,55.0,1.0,-33.4280785,-70.5694421,Las Condes
338784952.0,2.0,4.0,240.0,161.0,1.0,-33.4277537,-70.5484417,Las Condes
400160179.0,1.0,3.0,340.0,206.0,1.0,-33.3895641,-70.5328668,Las Condes
235888871.0,3.0,4.0,144.0,30.0,1.0,-33.5183225,-70.5619149,La Florida
155000000.0,2.0,3.0,130.0,0.0,1.0,-33.5599437,-70.5439044,Puente Alto
138000000.0,2.0,3.0,162.0,92.0,1.0,-33.5156648,-70.5829156,La Florida
159000000.0,3.0,4.0,180.0,60.0,1.0,-33.5184,-70.552864,La Florida
170000000.0,2.0,4.0,165.0,71.0,1.0,-33.5387967,-70.5586811,La Florida
1181807972.0,4.0,4.0,880.0,546.0,1.0,-33.323849,-70.5522042,Lo Barnechea
380000000.0,3.0,4.0,24606.0,10881.0,1.0,-33.4537823,-70.5824313,Ñuñoa
980900616.0,5.0,5.0,5000.0,4690.0,1.0,-33.2837388,-70.688822,Colina
175000000.0,3.0,4.0,200.0,0.0,1.0,-33.5977817,-70.5119839,Puente Alto
362421111.0,3.0,4.0,279.0,131.0,1.0,-33.3479443,-70.6727406,Huechuraba
98000000.0,1.0,3.0,92.0,10.0,1.0,-33.5683905,-70.5878478,La Florida
531813587.0,5.0,6.0,6000.0,5600.0,1.0,-33.8041822,-70.6721784,Paine
925749578.0,4.0,5.0,525.0,325.0,1.0,-33.336698,-70.549427,Lo Barnechea
748084446.0,5.0,5.0,356.0,136.0,1.0,-33.402422,-70.511657,Las Condes
342684918.0,4.0,4.0,315.0,125.0,1.0,-33.3624693,-70.6657479,Huechuraba
716963503.0,3.0,5.0,1400.0,1200.0,1.0,-33.4240462,-70.5256414,Las Condes
136000000.0,2.0,3.0,110.0,10.0,1.0,-33.4194005,-70.6760102,Independencia
191058955.0,3.0,3.0,145.0,35.0,1.0,-33.5612955,-70.7824146,Maipú
216664795.0,3.0,3.0,200.0,113.0,1.0,-33.3541197,-70.6850374,Huechuraba
161513756.0,3.0,3.0,216.0,36.0,1.0,-33.5304262,-70.6917938,Lo Espejo
120000000.0,2.0,3.0,14515.0,8589.0,1.0,-33.3292027,-70.7500058,Lampa
303330713.0,4.0,4.0,353.0,212.0,1.0,-33.5133512,-70.5317522,La Florida
807568781.0,4.0,6.0,600.0,350.0,1.0,-33.431652,-70.5574148,La Reina
165453116.0,2.0,3.0,210.0,45.0,1.0,-33.411151,-70.7105626,Quinta Normal
192000000.0,3.0,4.0,274.0,136.0,1.0,-33.4808374,-70.6270299,San Joaquín
1063627174.0,5.0,5.0,803.0,517.0,1.0,-33.3393017,-70.547495,Lo Barnechea
130000000.0,1.0,3.0,122.0,68.0,1.0,-33.5543395,-70.5659244,La Florida
196967995.0,3.0,3.0,190.0,0.0,1.0,-33.3838089,-70.7200181,Quilicura
150000000.0,2.0,3.0,1955.0,-9009.0,1.0,-33.498537,-70.6268133,San Joaquín
578691970.0,3.0,4.0,570.0,342.0,1.0,-33.4476502,-70.5900165,Ñuñoa
905264906.0,3.0,4.0,5000.0,4770.0,1.0,-33.2687675,-70.6410598,Colina
189500000.0,1.0,3.0,200.0,120.0,1.0,-33.4668533,-70.5738911,Peñalolén
156000000.0,2.0,3.0,130.0,41.0,1.0,-33.5931372,-70.5510282,Puente Alto
307270073.0,3.0,4.0,450.0,330.0,1.0,-33.3049656,-70.6940399,Colina
323027512.0,2.0,4.0,268.0,141.0,1.0,-33.5139917,-70.6098962,La Florida
350603032.0,3.0,4.0,280.0,150.0,1.0,-33.3578926,-70.6686473,Huechuraba
291512633.0,2.0,4.0,398.0,298.0,1.0,-33.4905121,-70.5908749,Macul
78787198.0,1.0,3.0,70.0,20.0,1.0,-33.6002385,-70.6982998,San Bernardo
586964626.0,4.0,6.0,475.0,0.0,1.0,-33.6655216,-70.9314152,Talagante
334845592.0,4.0,4.0,476.0,336.0,1.0,-33.5125468,-70.5338875,La Florida
177271196.0,2.0,5.0,200.0,20.0,1.0,-33.4965029,-70.7484069,Maipú
559389107.0,3.0,4.0,360.0,220.0,1.0,-33.4383357,-70.5883756,Providencia
785902301.0,5.0,5.0,330.0,160.0,1.0,-33.3505208,-70.5462153,Lo Barnechea
393935991.0,3.0,4.0,140.0,-100.0,1.0,-33.4279493,-70.5699445,Las Condes
190000000.0,1.0,3.0,286.0,197.0,1.0,-33.5118315,-70.6142998,San Joaquín
102423358.0,1.0,3.0,192.0,128.0,0.0,-33.3959344,-70.6536623,Recoleta
1510035439.0,7.0,10.0,3169.0,0.0,1.0,-33.6074518,-70.8736336,Peñaflor
311209433.0,4.0,4.0,345.0,205.0,1.0,-33.5629339,-70.8336592,Padre Hurtado
97000000.0,1.0,4.0,100.0,0.0,1.0,-33.5349764,-70.6339214,La Granja
98877934.0,2.0,3.0,100.0,30.0,1.0,-33.6521446,-70.9001492,Talagante
307270073.0,2.0,3.0,290.0,200.0,1.0,-33.4425121,-70.575377,Ñuñoa
535752947.0,4.0,4.0,650.0,480.0,1.0,-33.274786,-70.6349071,Colina
85000000.0,2.0,2.0,83.0,32.0,1.0,-33.737023,-70.6825148,Buin
582710117.0,3.0,11.0,27574.0,-3800.0,1.0,-33.4405886,-70.6624096,Santiago
128423133.0,1.0,2.0,336.0,273.0,1.0,-33.5643729,-70.6598555,El Bosque
153635036.0,2.0,3.0,121.0,51.0,1.0,-33.5080475,-70.7049682,Cerrillos
109908141.0,1.0,2.0,191.0,51.0,1.0,-33.5538101,-70.5801673,La Florida
1083323974.0,5.0,5.0,480.0,80.0,1.0,-33.432374,-70.6058559,Providencia
161750118.0,2.0,3.0,140.0,50.0,1.0,-33.5935743,-70.5858683,Puente Alto
191058955.0,2.0,5.0,5235.0,0.0,1.0,-33.7409625,-71.1948139,Melipilla
195000000.0,2.0,3.0,103.0,15.0,1.0,-33.5020224,-70.5906764,Macul
115000000.0,1.0,4.0,130.0,25.0,1.0,-33.4981891,-70.6833022,Pedro Aguirre Cerda
175000000.0,2.0,4.0,330.0,205.0,1.0,-33.516074,-70.6274407,San Joaquín
665751824.0,2.0,3.0,280.0,160.0,1.0,-33.3827052,-70.5697869,Vitacura
890295339.0,5.0,7.0,473.0,270.0,1.0,-33.3280317,-70.5429293,Lo Barnechea
128029197.0,3.0,4.0,167.0,107.0,1.0,-33.6028661,-70.577123,Puente Alto
120000000.0,2.0,3.0,92.0,30.0,1.0,-33.5494962,-70.7696108,Maipú
168998540.0,2.0,4.0,240.0,112.0,1.0,-33.5404714,-70.6716122,La Cisterna
135120045.0,2.0,3.0,190.0,50.0,1.0,-33.3634093,-70.7292316,Quilicura
311209433.0,2.0,6.0,252.0,114.0,1.0,-33.5216289,-70.6617607,La Cisterna
156500000.0,3.0,3.0,142.0,56.0,1.0,-33.4049416,-70.7578888,Renca
289542953.0,3.0,4.0,394.0,287.0,1.0,-33.5659659,-70.8291531,Padre Hurtado
173331836.0,2.0,3.0,90.0,-50.0,1.0,-33.4923208,-70.6517693,San Miguel
85000000.0,1.0,3.0,110.0,55.0,1.0,-33.4768303,-70.7202874,Cerrillos
83500000.0,2.0,3.0,100.0,25.0,1.0,-33.61205,-70.58707,Puente Alto
654000000.0,4.0,7.0,5450.0,4884.0,1.0,-33.6922894,-70.8493173,Talagante
216664795.0,3.0,3.0,200.0,90.0,1.0,-33.5709234,-70.827359,Padre Hurtado
100000000.0,1.0,3.0,125.0,0.0,0.0,-33.4106102,-70.7109329,Quinta Normal
413632790.0,2.0,2.0,370.0,0.0,1.0,-33.4716206,-70.6364076,Santiago
85878046.0,2.0,3.0,71.0,21.0,1.0,-33.5742289,-70.8058935,Padre Hurtado
100847614.0,1.0,4.0,62.0,-28.0,1.0,-33.5195185,-70.5530974,La Florida
