url,precio_uf,banos,dormitorios,superficie_total,superficie_construida,superficie_util,estacionamiento,latitud,longitud,informacion_adicional
https://www.toctoc.com/propiedades/compraparticularsr/casa/nunoa/casas-marchant-pereira-3322/3789289,12780,2,3,280,200,80.00,Si,-33.453019,-70.606984,"Informacion adicional Casa con gran ubicacion a 1 cuadra Pedro de Valdivia-Irarrazaval, excelente para oficina y habitacional, con acceso a Metro Lineas 3 y 6 , a 1 cuadra de Pedro de Valdivia y 1 cuadra de Irarrazaval"
https://www.toctoc.com/propiedades/compraparticularsr/casa/colina/acogedora-casa-en-condominio-de-parcelas/2926383,15490,5,4,5183,270,4913.00,Si,-33.23792755,-70.71814135,"Informacion adicional Se vende exclusiva parcela en el condominio Santa Teresita, ubicado en la comuna de Colina, en el prestigioso sector de Liray - Lo Pinto. Esta propiedad cuenta con un total de 5181 metros cuadrados de terreno, en un entorno natural privilegiado y seguro. Esta cercana a Colegios Trewhela's, Pucalan, Kimen Montessori, Pumahue de Chicureo, Rayen Mahuida, San Nicolas Diacono. La casa de la parcela ofrece 4 dormitorios (principal en suite) y 5 banos, ademas de un amplio y luminoso living comedor. La propiedad incluye tambien una amplia cocina tradicional con comedor de diario, pieza y bano de servicio, ademas de Sala de lavado. La calefaccion es mediante caldera central, lo que proporciona un ambiente calido y confortable en todas las estaciones del ano. Cuenta con paneles solares, agua de pozo con sistema de agua potable propia del condominio (con derechos de agua). Muy fresca en verano, no requiere de aire acondicionado, solo calefaccion 4-5 meses al ano. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-reina/casas-vista-hermosa-6585/3551061,12800,4,5,648,229,419.00,No,-33.443823,-70.563574,"Informacion adicional VENDEN DIRECTAMENTE LOS DUENOS ESTAMOS ABIERTOS A NEGOCIAR. Se vende inmueble, habitacional, emplazado sobre un terreno de 648 M2, que consta DE 2 CASAS. Una casa principal, pareada, de 126,4 m2, con living-comedor, cocina, 2 banos, 4 dormitorios mas uno de servicio, ademas tiene bodega, lavadero, vegetacion ornamental, terraza techada y patio y una casa interior e independiente, de 99,74 m2, con cocina, 3 habitaciones, 2 banos, bodega, y terraza techada. El inmueble se encuentra en perfecto estado de conservacion, ademas cuenta con cierres medianeros de albanileria, pavimentos exteriores, murete, rejas, porton de acceso frontal y cesped. La propiedad se encuentra ubicada en un sector residencial, con una excelente ubicacion y conectividad como comercios de barrio, supermercados, cafes, restaurantes, iglesias, colegios, canchas de futbol, Prince of Wales Country Club, Corporacion Cultural de La Reina, plazas, Parque La Reina, Parque Padre Hurtado, Cine Hoyts La Reina y el centro comercial Mall Plaza Egana. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/lo-barnechea/casa-no-perimetral-en-condominio-los-litres-lo-barnechea/3528789,21300,4,4,604,226,378.00,Si,-33.31658707,-70.5498238,"Informacion adicional Hermosa Casa no perimetral en Condominio cerrado, Espectacular Vista. 3 Dormitorios + 2 banos completos+ bano de visitas + Dormitorio y bano de servicio. Cercana a colegios Monte Tabor, Everest y Craighouse. Distribucion. Primer Piso: - Hall de entrada - Living y comedor separados por muro de media altura, ambos con acceso a terraza - Bano de visitas ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/puente-alto/apostol-timoteo-4136-puente-alto/2511949,1911,2,3,203.00,114,89.00,,-33.622597,-70.625718,"Informacion adicional Hermosa casa en venta con negocio incluido, barrio muy tranquilo, cercano a avda., consultorio, comisaria y colegio aceptamos todo medio de pago mas el 2% de comision por Corretaje, agenda tu visita sin compromiso."
https://www.toctoc.com/propiedades/compraparticularsr/casa/quilicura/volcan-tupungatito-0517-quilicura/2244542,2165,1,3,171.66,91.54,80.12,Si,-33.367776,-70.731698,"Informacion adicional En venta casa ampliada, ubicada en recinto residencial, cercana a futuro Metro Lo Cruzat-Quilicura 2023. Casa remodelada con todas las comodidades y confort que requiere su familia, cuenta con: Piso flotante, en living y comedor y sala de estar segundo piso Piso alfombrado en habitaciones ubicadas en el segundo piso Ceramica en cobertizo techado Rejas de proteccion en todas las ventanas Estacionamiento para dos automoviles ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/pudahuel/hermosa-casa-en-lomas-de-lo-aguirre/1985835,22000,4,5,1230,340,890.00,,-33.45616319,-70.82242461,"Informacion adicional Gran oportunidad, hermosa casa en Lomas de lo Aguirre acceso rapido autopistas, aeropuerto, centro, malls. 1.230m2 terreno, 340 mts construidos Amplios estacionamientos. Gran living con bar y chimenea doble camara, amplio comedor, ambos con hermoso piso de madera. 5 dormitorios, 4 banos, principal en suite con jacuzzi. Dormitorio de servicio con bano, Logia Lavadero, gran subterraneo con sauna. Cabana Interior para visitas (estar, dormitorio con aire acondicionado, bano en suite) ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/penaflor/venta-de-linda-y-amplia-casa-en-penaflor-provincia-talagante/2028604,4459,3,3,250,120,130.00,Si,-33.5988383,-70.85437067,"Informacion adicional Descripcion general : - Se vende linda casa de amplios espacios interiores y acceso a areas verdes en Los Valles de Penaflor , sector Malloco. - Lugar con buena conectividad, facil acceso a locomocion colectiva y Autopista del Sol (a 20 min de Stgo). - Pronta estacion de metrotren a Meliplilla a 5 minutos. - Acceso a comercio en 5 minutos (Hiper Lider, Unimarc, Portal Miraflor) y servicios de abastecimiento (servicentro Copec y Petrobras ). - Acceso a centro de entretenimientos Acuapark El Idilio y entornos naturales (Parque el Trapiche). ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/lo-prado/casas-los-ediles-343/3460960,4400,3,5,180,150,30.00,No,-33.449379,-70.71003,"Informacion adicional Casa ubicada en barrio residencial a 20 min de metro, 5 dormitorios, 3 banos, 184 m totales, 150 m construidos, amplio estacionamiento, bodega y jardin"
https://www.toctoc.com/propiedades/compraparticularsr/casa/la-reina/casas-tobalaba-8711/3298189,5951,2,2,116,86,30.00,Si,-33.460802,-70.55329,"Informacion adicional Se vende casa de 2 pisos, Planta baja: living- comedor, cocina, un bano, pieza de estudio u oficina, toda la planta baja con piso de porcelanato. Planta Alta: 2 dormitorios con piso flotante y con aire acondicionado, un bano. Patio trasero, antejardin, estacionamiento uno o dos vehiculos. Techo recien cambiado, aislacion con lana de roca, osb con cara aluminica y papel asfaltico. Buena movilizacion, cercana a metro Fernando Castillo Velasco, supermercados cerca, a 10 minutos en vehiculo del Mall Plaza Egana."
