Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
La Florida Verdi 10590;115000000;2;18-06-2025;4;97;100;1;La Florida;-335.557.417;-705.973.084;Recio Gestión Inmobiliaria Ltda
La Florida San Antonio de Padua;130000000;1;18-06-2025;3;58;122;2;La Florida;-33.554.783;-705.654.838;Recio Gestión Inmobiliaria Ltda
Penalolen Avenida Quilin Sur 10000;644737500;5;18-06-2025;;187;820;5;Penalolen;-335.015.188;-7.052.466.199.999.990;Alo Propiedades
Penalolen Avenida Quebrada de Macul & Avenida Consistorial;339952500;3;18-06-2025;4;117;272;2;Penalolen;-33.507.559.199.999.900;-705.538.188;Alo Propiedades
Puente Alto Volcan Olca;72000000;1;18-06-2025;2;70;80;1;Puente Alto;-335.735.906;-706.066.036;
Puente Alto Mulliri 2933;53000000;1;18-06-2025;2;55;60;;Puente Alto;-335.861.559;-7.060.075.379.999.990;
Penalolen Lago Caburga;110000000;1;18-06-2025;2;125;125;;Penalolen;-334.802.514;-705.624.375;
Buin Pasaje Raul Ortega;120000000;2;17-06-2025;3;101;165;2;Buin;-337.130.228;-7.074.133.619.999.990;
Buin Pasaje Alberto Nalli Penaloza;52000000;1;17-06-2025;2;;;1;Buin;-337.253.951;-707.740.263;
Penalolen Altos del Parque Norte;371212500;3;17-06-2025;4;140;290;2;Penalolen;-334.967.891;-705.528.694;Alo Propiedades
La Cisterna Pero 8983;140000000;1;17-06-2025;2;95;250;5;La Cisterna;-3.354.110.960.000.000;-7.065.568.069.999.990;
Maipu Moscu;110000000;;17-06-2025;3;65;108;2;Maipu;-334.876.965;-7.073.387.249.999.990;
Penalolen Aurora Ote. 5700;291108750;3;17-06-2025;4;140;220;2;Penalolen;-335.102.421;-7.055.186.239.999.990;Alo Propiedades
Quilicura Andalucia Nte. 1313;162161250;3;17-06-2025;3;;;;Quilicura;-333.801.298;-70.731.889;Diaz Propiedades
La Florida Los Sauces 344;85965000;1;17-06-2025;4;75;75;2;La Florida;-335.685.395;-7.058.826.739.999.990;
Quinta Normal Tadeo Vargas;284466000;3;17-06-2025;4;198;354;1;Quinta Normal;-334.459.015;-707.063.514;C & C Estudio Consultores Legal - Bróker Asociados
Puente Alto Av. Las Nieves Ote. 2590;110000000;2;16-06-2025;4;97;97;1;Puente Alto;-33.586.349.399.999.900;-705.573.339;
Pedro Aguirre Cerda avenida salvador allende 2290;150000000;1;16-06-2025;3;108;187;4;Pedro Aguirre Cerda;-3.348.834.411.399.880;-7.066.645.226.603.300;
San Bernardo san bernardo;110000000;1;16-06-2025;6;155;200;3;San Bernardo;-335.833.333;-70.7;Patricia Propiedades
Buin Las Temporeras 0360;71800000;1;16-06-2025;2;60;100;1;Buin;-33.730.937;-70.742.322;
Huechuraba Vespucio Norte;127970625;2;16-06-2025;4;80;103;2;Huechuraba;-3.338.043;-7.064.681.999.999.990;
Colina Pinares de colina;164115000;3;16-06-2025;3;88;189;2;Colina;-33.195.275;-70.670.897;
Lampa Batuco;68000000;1;16-06-2025;4;;72;1;Lampa;-332.296.937;-708.104.688;
Maipu Pje. Isaias 652;118397250;2;16-06-2025;3;74;116;2;Maipu;-335.475.702;-707.743.086;ARNALDO JESUS PAOLINI VASQUEZ
San Bernardo La Esperanza;130000000;3;16-06-2025;3;62;149;1;San Bernardo;-336.027.503;-706.731.169;Cadepar Propiedades SpA
Santiago Rafael Sotomayor 1231;214912500;2;16-06-2025;4;240;270;3;Santiago;-3.343.088.579.999.990;-7.067.407.770.000.000;Wpp-propiedades Spa
Macul Varihue 3396;89500000;1;15-06-2025;3;40;50;;Macul;-335.005.532;-705.981.286;Propiedades y Administración DS spa
Penalolen Los Alerces;461085000;4;15-06-2025;4;223;480;2;Penalolen;-335.044.717;-705.582.714;Rock Properties
Quilicura Pje. Sta. Raquel 238;168022500;2;15-06-2025;3;92;147;2;Quilicura;-333.612.289;-707.091.591;
Macul Avenida Quilin;380000000;4;15-06-2025;3;164;448;4;Macul;-3.348.496.796.231.160;-705.996.036.529.541;
Puente Alto Puente Alto;152392500;2;14-06-2025;3;1;140;2;Puente Alto;-33.591.478.696.544.600;-7.054.294.821.022.330;H&M Propiedades
Puente Alto C. El Llano 0287;89872500;1;14-06-2025;2;;86;2;Puente Alto;-3.361.002.305.294.160;-705.237.991.163.127;H&M Propiedades
Maipu Valle de la Gloria 2112;102800000;2;14-06-2025;4;92;106;1;Maipu;-33.511.491.172.318.200;-7.079.322.513.816.750;Pro Dest
Buin Pasaje Raul Ortega;78000000;1;14-06-2025;2;;;;Buin;-337.130.228;-7.074.133.619.999.990;
Vitacura Mas A Tierra 1800;777592500;4;14-06-2025;5;100;529;2;Vitacura;-333.847.641;-705.486.651;Rafael Prado Remax Select
Maipu Nueva San Martin 84;250000000;3;14-06-2025;4;165;540;3;Maipu;-335.255.852;-707.585;
Penalolen Cam. la Loma 4925;500160000;4;14-06-2025;5;140;540;2;Penalolen;-335.057.909;-705.293.695;
Melipilla Cerro Tantehue;93000000;1;14-06-2025;3;70;1052;3;Melipilla;-338.586.111;-7.123.361.109.999.990;
Padre Hurtado San Valentin;85000000;1;14-06-2025;3;55;70;3;Padre Hurtado;-33.574.629;-708.151.081;
Lampa Pasaje Los Espinos Larapinta;155000000;2;14-06-2025;3;100;279;2;Lampa;-33.280.615;-708.832.422;Casol Propiedades
Lampa Av. La Hacienda 3016;140000000;3;14-06-2025;3;105;240;2;Lampa;-333.003.791;-708.727.766;Casol Propiedades
Lampa Chagual;100000000;2;14-06-2025;3;73;162;2;Lampa;-332.949.086;-7.088.312;Casol Propiedades
Lampa Colliguay;70000000;1;14-06-2025;4;68;138;2;Lampa;-332.931.064;-708.838.527;Casol Propiedades
Santiago San Ignacio de Loyola 163;761962500;4;14-06-2025;7;418;352;1;Santiago;-334.484.413;-706.569.538;Bienes Raíces Castro Aranguiz
La Florida Cascada de La Paloma Oriente;273134250;3;14-06-2025;4;114;253;2;La Florida;-335.120.902;-705.238.887;Alejandra Property
Penalolen Avenida Consistorial;253987500;3;13-06-2025;4;90;200;4;Penalolen;-334.874.057;-705.488.784;
Colina Calle Cristobal Colon;40000000;1;13-06-2025;2;42;90;;Colina;-3.319.423;-7.067.254;Rojas&Oliva Propiedades
Colina Eduardo Anguita;60000000;1;13-06-2025;2;;;1;Colina;-33.182.187.299.999.900;-706.707.641;Rojas&Oliva Propiedades
Maipu Avenida El Rosal;246172500;3;12-06-2025;4;116;180;3;Maipu;-334.860.414;-707.682.243;
Maipu Gutemberg 3899;2500;1;12-06-2025;3;51;112;2;Maipu;-334.763.358;-7.072.886.299.999.990;
Maipu Madreselvas 18351;163724250;4;12-06-2025;4;113;127;1;Maipu;-335.539.974;-707.920.409;
San Bernardo La Esperanza;130000000;3;12-06-2025;3;62;149;1;San Bernardo;-336.027.727;-7.067.312.410.000.000;Cadepar Propiedades SpA
Melipilla Esmeralda 0190;140000000;1;12-06-2025;3;60;400;2;Melipilla;-336.788.417;-7.119.446.909.999.990;Rosario Andrade
La Florida Camino del Paisaje;582217500;6;11-06-2025;5;240;600;3;La Florida;-335.142.096;-705.295.147;Inmobiliaria Barrio Nuevo SpA
La Florida Sta. Marta;159000000;2;11-06-2025;4;100;180;1;La Florida;-335.444.679;-705.803.449;Inmobiliaria Barrio Nuevo SpA
La Florida El hualle sur;225000000;3;11-06-2025;4;133;177;3;La Florida;-335.358.975;-705.521.057;
La Florida Salvador Sanfuentes;145000000;2;11-06-2025;4;71;;1;La Florida;-335.665.524;-7.058.914.039.999.990;
Santiago Rafael Sotomayor 381;180000000;2;11-06-2025;4;131;77;;Santiago;-334.410.831;-706.731.805;Jlipropiedades
Colina Guay guay;566587500;4;10-06-2025;4;222;710;2;Colina;-332.687.675;-706.410.598;
La Florida Joaquin Tocornal   La Florida Chile;180000000;1;10-06-2025;3;67;258;;La Florida;-335.576.362;-705.843.211;
Independencia Carlos Toribio Robinet;180000000;2;09-06-2025;4;125;250;;Independencia;-33.409.811;-7.067.267.149.999.990;Essan
Conchali Av. Los Zapadores;86000000;1;09-06-2025;3;55;160;2;Conchali;-333.883.277;-706.851.343;Essan
